snapshot_date,sku_id,warehouse_id,on_hand_qty,reserved_qty,last_movement_date,unit_cost
2023-01-01,SKU_001,WH_NORTH,226,0,2023-01-01,83.05
2023-01-01,SKU_002,WH_NORTH,903,0,2023-01-01,57.92
2023-01-01,SKU_003,WH_NORTH,782,0,2023-01-01,89.39
2023-01-01,SKU_004,WH_NORTH,558,0,2023-01-01,77.3
2023-01-01,SKU_005,WH_NORTH,559,0,2023-01-01,32.06
2023-01-01,SKU_006,WH_NORTH,987,0,2023-01-01,98.17
2023-01-01,SKU_007,WH_NORTH,230,0,2023-01-01,82.09
2023-01-01,SKU_008,WH_NORTH,844,0,2023-01-01,83.95
2023-01-01,SKU_009,WH_NORTH,335,0,2023-01-01,34.61
2023-01-01,SKU_010,WH_NORTH,229,0,2023-01-01,58.78
2023-01-01,SKU_011,WH_NORTH,642,0,2023-01-01,52.81
2023-01-01,SKU_012,WH_NORTH,1122,0,2023-01-01,94.51
2023-01-01,SKU_013,WH_NORTH,876,0,2023-01-01,73.29
2023-01-01,SKU_014,WH_NORTH,896,0,2023-01-01,86.71
2023-01-01,SKU_015,WH_NORTH,842,0,2023-01-01,58.26
2023-01-01,SKU_016,WH_NORTH,924,0,2023-01-01,42.04
2023-01-01,SKU_017,WH_NORTH,642,0,2023-01-01,66.59
2023-01-01,SKU_018,WH_NORTH,253,0,2023-01-01,29.79
2023-01-01,SKU_019,WH_NORTH,984,0,2023-01-01,87.07
2023-01-01,SKU_020,WH_NORTH,594,0,2023-01-01,72.37
2023-01-01,SKU_001,WH_SOUTH,218,0,2023-01-01,83.05
2023-01-01,SKU_002,WH_SOUTH,869,0,2023-01-01,57.92
2023-01-01,SKU_003,WH_SOUTH,758,0,2023-01-01,89.39
2023-01-01,SKU_004,WH_SOUTH,534,0,2023-01-01,77.3
2023-01-01,SKU_005,WH_SOUTH,534,0,2023-01-01,32.06
2023-01-01,SKU_006,WH_SOUTH,930,0,2023-01-01,98.17
2023-01-01,SKU_007,WH_SOUTH,220,0,2023-01-01,82.09
2023-01-01,SKU_008,WH_SOUTH,800,0,2023-01-01,83.95
2023-01-01,SKU_009,WH_SOUTH,320,0,2023-01-01,34.61
2023-01-01,SKU_010,WH_SOUTH,221,0,2023-01-01,58.78
2023-01-01,SKU_011,WH_SOUTH,614,0,2023-01-01,52.81
2023-01-01,SKU_012,WH_SOUTH,1068,0,2023-01-01,94.51
2023-01-01,SKU_013,WH_SOUTH,843,0,2023-01-01,73.29
2023-01-01,SKU_014,WH_SOUTH,863,0,2023-01-01,86.71
2023-01-01,SKU_015,WH_SOUTH,814,0,2023-01-01,58.26
2023-01-01,SKU_016,WH_SOUTH,877,0,2023-01-01,42.04
2023-01-01,SKU_017,WH_SOUTH,615,0,2023-01-01,66.59
2023-01-01,SKU_018,WH_SOUTH,240,0,2023-01-01,29.79
2023-01-01,SKU_019,WH_SOUTH,946,0,2023-01-01,87.07
2023-01-01,SKU_020,WH_SOUTH,566,0,2023-01-01,72.37
2023-01-01,SKU_001,WH_EAST,210,0,2023-01-01,83.05
2023-01-01,SKU_002,WH_EAST,830,0,2023-01-01,57.92
2023-01-01,SKU_003,WH_EAST,732,0,2023-01-01,89.39
2023-01-01,SKU_004,WH_EAST,516,0,2023-01-01,77.3
2023-01-01,SKU_005,WH_EAST,507,0,2023-01-01,32.06
2023-01-01,SKU_006,WH_EAST,894,0,2023-01-01,98.17
2023-01-01,SKU_007,WH_EAST,208,0,2023-01-01,82.09
2023-01-01,SKU_008,WH_EAST,762,0,2023-01-01,83.95
2023-01-01,SKU_009,WH_EAST,311,0,2023-01-01,34.61
2023-01-01,SKU_010,WH_EAST,210,0,2023-01-01,58.78
2023-01-01,SKU_011,WH_EAST,585,0,2023-01-01,52.81
2023-01-01,SKU_012,WH_EAST,1010,0,2023-01-01,94.51
2023-01-01,SKU_013,WH_EAST,807,0,2023-01-01,73.29
2023-01-01,SKU_014,WH_EAST,825,0,2023-01-01,86.71
2023-01-01,SKU_015,WH_EAST,770,0,2023-01-01,58.26
2023-01-01,SKU_016,WH_EAST,842,0,2023-01-01,42.04
2023-01-01,SKU_017,WH_EAST,583,0,2023-01-01,66.59
2023-01-01,SKU_018,WH_EAST,234,0,2023-01-01,29.79
2023-01-01,SKU_019,WH_EAST,901,0,2023-01-01,87.07
2023-01-01,SKU_020,WH_EAST,535,0,2023-01-01,72.37
2023-01-01,SKU_001,WH_WEST,205,0,2023-01-01,83.05
2023-01-01,SKU_002,WH_WEST,811,0,2023-01-01,57.92
2023-01-01,SKU_003,WH_WEST,716,0,2023-01-01,89.39
2023-01-01,SKU_004,WH_WEST,494,0,2023-01-01,77.3
2023-01-01,SKU_005,WH_WEST,490,0,2023-01-01,32.06
2023-01-01,SKU_006,WH_WEST,874,0,2023-01-01,98.17
2023-01-01,SKU_007,WH_WEST,203,0,2023-01-01,82.09
2023-01-01,SKU_008,WH_WEST,733,0,2023-01-01,83.95
2023-01-01,SKU_009,WH_WEST,296,0,2023-01-01,34.61
2023-01-01,SKU_010,WH_WEST,197,0,2023-01-01,58.78
2023-01-01,SKU_011,WH_WEST,565,0,2023-01-01,52.81
2023-01-01,SKU_012,WH_WEST,976,0,2023-01-01,94.51
2023-01-01,SKU_013,WH_WEST,778,0,2023-01-01,73.29
2023-01-01,SKU_014,WH_WEST,799,0,2023-01-01,86.71
2023-01-01,SKU_015,WH_WEST,743,0,2023-01-01,58.26
2023-01-01,SKU_016,WH_WEST,812,0,2023-01-01,42.04
2023-01-01,SKU_017,WH_WEST,553,0,2023-01-01,66.59
2023-01-01,SKU_018,WH_WEST,222,0,2023-01-01,29.79
2023-01-01,SKU_019,WH_WEST,865,0,2023-01-01,87.07
2023-01-01,SKU_020,WH_WEST,512,0,2023-01-01,72.37
2023-01-02,SKU_001,WH_NORTH,194,0,2023-01-02,83.05
2023-01-02,SKU_002,WH_NORTH,777,0,2023-01-02,57.92
2023-01-02,SKU_003,WH_NORTH,688,0,2023-01-02,89.39
2023-01-02,SKU_004,WH_NORTH,470,0,2023-01-02,77.3
2023-01-02,SKU_005,WH_NORTH,470,0,2023-01-02,32.06
2023-01-02,SKU_006,WH_NORTH,827,0,2023-01-02,98.17
2023-01-02,SKU_007,WH_NORTH,194,0,2023-01-02,82.09
2023-01-02,SKU_008,WH_NORTH,705,0,2023-01-02,83.95
2023-01-02,SKU_009,WH_NORTH,288,0,2023-01-02,34.61
2023-01-02,SKU_010,WH_NORTH,182,0,2023-01-02,58.78
2023-01-02,SKU_011,WH_NORTH,540,0,2023-01-02,52.81
2023-01-02,SKU_012,WH_NORTH,928,0,2023-01-02,94.51
2023-01-02,SKU_013,WH_NORTH,747,0,2023-01-02,73.29
2023-01-02,SKU_014,WH_NORTH,770,0,2023-01-02,86.71
2023-01-02,SKU_015,WH_NORTH,708,0,2023-01-02,58.26
2023-01-02,SKU_016,WH_NORTH,782,0,2023-01-02,42.04
2023-01-02,SKU_017,WH_NORTH,527,0,2023-01-02,66.59
2023-01-02,SKU_018,WH_NORTH,218,0,2023-01-02,29.79
2023-01-02,SKU_019,WH_NORTH,824,0,2023-01-02,87.07
2023-01-02,SKU_020,WH_NORTH,483,0,2023-01-02,72.37
