order_id,order_date,sku_id,quantity,unit_price,region
ORD_0000001,2023-01-01,SKU_001,7,72.53,North
ORD_0000002,2023-01-01,SKU_002,23,136.11,North
ORD_0000003,2023-01-01,SKU_003,27,91.45,North
ORD_0000004,2023-01-01,SKU_004,23,109.35,North
ORD_0000005,2023-01-01,SKU_005,20,75.2,North
ORD_0000006,2023-01-01,SKU_006,31,50.74,North
ORD_0000007,2023-01-01,SKU_007,6,79.18,North
ORD_0000008,2023-01-01,SKU_008,26,38.51,North
ORD_0000009,2023-01-01,SKU_009,12,106.06,North
ORD_0000010,2023-01-01,SKU_010,5,97.77,North
ORD_0000011,2023-01-01,SKU_011,26,104.87,North
ORD_0000012,2023-01-01,SKU_012,32,72.22,North
ORD_0000013,2023-01-01,SKU_013,24,133.02,North
ORD_0000014,2023-01-01,SKU_014,30,114.4,North
ORD_0000015,2023-01-01,SKU_015,26,116.7,North
ORD_0000016,2023-01-01,SKU_016,30,55.1,North
ORD_0000017,2023-01-01,SKU_017,30,75.98,North
ORD_0000018,2023-01-01,SKU_018,9,34.97,North
ORD_0000019,2023-01-01,SKU_019,31,49.55,North
ORD_0000020,2023-01-01,SKU_020,16,90.86,North
ORD_0000021,2023-01-01,SKU_001,8,72.53,South
ORD_0000022,2023-01-01,SKU_002,34,136.11,South
ORD_0000023,2023-01-01,SKU_003,24,91.45,South
ORD_0000024,2023-01-01,SKU_004,24,109.35,South
ORD_0000025,2023-01-01,SKU_005,25,75.2,South
ORD_0000026,2023-01-01,SKU_006,57,50.74,South
ORD_0000027,2023-01-01,SKU_007,10,79.18,South
ORD_0000028,2023-01-01,SKU_008,44,38.51,South
ORD_0000029,2023-01-01,SKU_009,15,106.06,South
ORD_0000030,2023-01-01,SKU_010,8,97.77,South
ORD_0000031,2023-01-01,SKU_011,28,104.87,South
ORD_0000032,2023-01-01,SKU_012,54,72.22,South
ORD_0000033,2023-01-01,SKU_013,33,133.02,South
ORD_0000034,2023-01-01,SKU_014,33,114.4,South
ORD_0000035,2023-01-01,SKU_015,28,116.7,South
ORD_0000036,2023-01-01,SKU_016,47,55.1,South
ORD_0000037,2023-01-01,SKU_017,27,75.98,South
ORD_0000038,2023-01-01,SKU_018,13,34.97,South
ORD_0000039,2023-01-01,SKU_019,38,49.55,South
ORD_0000040,2023-01-01,SKU_020,28,90.86,South
ORD_0000041,2023-01-01,SKU_001,8,72.53,East
ORD_0000042,2023-01-01,SKU_002,39,136.11,East
ORD_0000043,2023-01-01,SKU_003,26,91.45,East
ORD_0000044,2023-01-01,SKU_004,18,109.35,East
ORD_0000045,2023-01-01,SKU_005,27,75.2,East
ORD_0000046,2023-01-01,SKU_006,36,50.74,East
ORD_0000047,2023-01-01,SKU_007,12,79.18,East
ORD_0000048,2023-01-01,SKU_008,38,38.51,East
ORD_0000049,2023-01-01,SKU_009,9,106.06,East
ORD_0000050,2023-01-01,SKU_010,11,97.77,East
ORD_0000051,2023-01-01,SKU_011,29,104.87,East
ORD_0000052,2023-01-01,SKU_012,58,72.22,East
ORD_0000053,2023-01-01,SKU_013,36,133.02,East
ORD_0000054,2023-01-01,SKU_014,38,114.4,East
ORD_0000055,2023-01-01,SKU_015,44,116.7,East
ORD_0000056,2023-01-01,SKU_016,35,55.1,East
ORD_0000057,2023-01-01,SKU_017,32,75.98,East
ORD_0000058,2023-01-01,SKU_018,6,34.97,East
ORD_0000059,2023-01-01,SKU_019,45,49.55,East
ORD_0000060,2023-01-01,SKU_020,31,90.86,East
ORD_0000061,2023-01-01,SKU_001,5,72.53,West
ORD_0000062,2023-01-01,SKU_002,19,136.11,West
ORD_0000063,2023-01-01,SKU_003,16,91.45,West
ORD_0000064,2023-01-01,SKU_004,22,109.35,West
ORD_0000065,2023-01-01,SKU_005,17,75.2,West
ORD_0000066,2023-01-01,SKU_006,20,50.74,West
ORD_0000067,2023-01-01,SKU_007,5,79.18,West
ORD_0000068,2023-01-01,SKU_008,29,38.51,West
ORD_0000069,2023-01-01,SKU_009,15,106.06,West
ORD_0000070,2023-01-01,SKU_010,13,97.77,West
ORD_0000071,2023-01-01,SKU_011,20,104.87,West
ORD_0000072,2023-01-01,SKU_012,34,72.22,West
ORD_0000073,2023-01-01,SKU_013,29,133.02,West
ORD_0000074,2023-01-01,SKU_014,26,114.4,West
ORD_0000075,2023-01-01,SKU_015,27,116.7,West
ORD_0000076,2023-01-01,SKU_016,30,55.1,West
ORD_0000077,2023-01-01,SKU_017,30,75.98,West
ORD_0000078,2023-01-01,SKU_018,12,34.97,West
ORD_0000079,2023-01-01,SKU_019,36,49.55,West
ORD_0000080,2023-01-01,SKU_020,23,90.86,West
ORD_0000081,2023-01-02,SKU_001,11,72.53,North
ORD_0000082,2023-01-02,SKU_002,34,136.11,North
ORD_0000083,2023-01-02,SKU_003,28,91.45,North
ORD_0000084,2023-01-02,SKU_004,24,109.35,North
ORD_0000085,2023-01-02,SKU_005,20,75.2,North
ORD_0000086,2023-01-02,SKU_006,47,50.74,North
ORD_0000087,2023-01-02,SKU_007,9,79.18,North
ORD_0000088,2023-01-02,SKU_008,28,38.51,North
ORD_0000089,2023-01-02,SKU_009,8,106.06,North
ORD_0000090,2023-01-02,SKU_010,15,97.77,North
ORD_0000091,2023-01-02,SKU_011,25,104.87,North
ORD_0000092,2023-01-02,SKU_012,48,72.22,North
ORD_0000093,2023-01-02,SKU_013,31,133.02,North
ORD_0000094,2023-01-02,SKU_014,29,114.4,North
ORD_0000095,2023-01-02,SKU_015,35,116.7,North
ORD_0000096,2023-01-02,SKU_016,30,55.1,North
ORD_0000097,2023-01-02,SKU_017,26,75.98,North
ORD_0000098,2023-01-02,SKU_018,4,34.97,North
ORD_0000099,2023-01-02,SKU_019,41,49.55,North
ORD_0000100,2023-01-02,SKU_020,29,90.86,North
